;Amitabh Bachchan;Shakti Kapoor;Anil Dhawan;Mohan Joshi;Nana Patekar;Akshay Kumar;Jackie Shroff;Mithun Chakraborty;Manoj Bajpayee;Deepti Naval;Yogeeta Bali;Rati Agnihotri;Dharmendra;Mehmood;Moushumi Chatterjee;Dinesh Hingoo;Prem Chopra;Anil Kapoor;Jimmy Shergill;Shatrughan Sinha;Amrish Puri;Shashi Kapoor;Danny Denzongpa;Arjun;Tabu;Zeenat Aman;Birbal;Sunil Shetty;Vijayendra Ghatge;Raj Babbar;Satyendra Kapoor;Bharat Kapoor;Divya Dutta;Dimple Kapadia;Rajesh Khanna;Jaya Prada;Helen;Ishrat Ali;Ashok Kumar;Girish Karnad;Sadashiv Amrapurkar;Sanjay Dutt;Pran;Iftekhar;Alok Nath;Reena Roy;Saif Ali Khan;Aamir Khan;Rakesh Bedi;Rita Bhaduri;Jagdeep;Hemant Birje;Suresh Oberoi;Sujit Kumar;Arun Bakshi;Paresh Rawal;Seema Biswas;Sunny Deol;Bharat Bhushan;Milind Gunaji;Kader Khan;Hema Malini;Jaya Bhaduri;Sanjeev Kumar;Gulshan Grover;Ranjeet;Vikas Anand;Chandrashekhar;Asrani;Ajit;Aruna Irani;Shabana Azmi;Mohnish Bahl;Raza Murad;Rajinikanth;Dara Singh;Anupam Kher;Karisma Kapoor;Raj Kiran;Bindu;Beena Banerjee;Shammi Kapoor;Sridevi;Mohan Choti;Shreeram Lagoo;Ajay Devgn;Vinod Khanna;Farida Jalal;Aditya Pancholi;Salman Khan;Govinda;Rishi Kapoor;Rakhee Gulzar;Juhi Chawla;Kulbhushan Kharbanda;Shah Rukh Khan;Tom Alter;Master Bhagwan;Ramesh Deo;Rekha;Irrfan Khan;Vinod Mehra;Abhi Bhattacharya;Tanuja;Tinnu Anand;Kiran Kumar;Amjad Khan;Madhuri Dixit;Om Puri;Jeetendra;Naseeruddin Shah;Manisha Koirala;Raveena Tandon
Vinod Khanna;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;0;1;1;1;1;0;0;1;0;1;0;1;0;0;0;1;1;1;1;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;1;1;0;0;1;0;1;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;0;1;0;0;1;1;1;1;1;0;1
Farida Jalal;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1
Aditya Pancholi;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;1;1;1
Salman Khan;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1
Govinda;1;1;1;0;0;1;1;1;1;0;0;0;1;0;1;0;1;1;0;1;0;1;1;0;1;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;1;1;0;0;1;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1
Rishi Kapoor;1;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1;0;0;0;1;0;1;1;0;1;1;1;1
Rakhee Gulzar;1;0;1;0;0;1;1;1;0;1;1;1;1;1;0;0;1;1;0;1;1;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;1;0;1;0;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;1;1;0;1
Juhi Chawla;1;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;0
Kulbhushan Kharbanda;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0
Shah Rukh Khan;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1
Tom Alter;1;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0
Master Bhagwan;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1;0;0;0
Ramesh Deo;1;0;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0
Rekha;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;1;1;1;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1
Irrfan Khan;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0
Vinod Mehra;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;1;1;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0
Abhi Bhattacharya;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Tanuja;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0
Tinnu Anand;1;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1
Kiran Kumar;0;1;1;1;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;1;0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1;0;0;1;1;1;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1
Amjad Khan;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;1;0;0;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;0;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;1;1;1;1;0;1;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0
Madhuri Dixit;0;1;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;1;0;1;0;0;1;0;1;0;1;1;1;0;0
Om Puri;1;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0
Jeetendra;1;1;0;1;0;0;1;1;0;0;1;0;1;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;1;1;1;1;1;0;0;1;0;1;1;0;0;1;0;1;0;0;1;0;0;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;1
Naseeruddin Shah;1;1;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;1;0;0;0;1;1;0;0;1;1;1;0;1;1;0;0;0;1
Manisha Koirala;1;1;0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1
